event_name,event_url,event_summary,full_address,region,presented_by_name,start_date,start_time,end_date,end_time,event_category
World Summit AI - SF,https://lu.ma/wialbjgv,"The World Summit AI in San Francisco (June 18-19, 2025) unites global leaders to address the ethical and societal implications of AI's rapid advancement, fostering collaboration across diverse sectors.  Key highlights include discussions on AI's global impact, autonomous agents, and human-centered AI applications, featuring prominent speakers and interactive workshops.  This event is crucial for anyone invested in shaping a responsible future for AI, from researchers and policymakers to business leaders and concerned citizens.","Fort Mason Center, 2 Marina Blvd, San Francisco, CA 94109, USA",California,WSAI USA,2025-06-18,09:00 AM,"June 19, 2025",05:30 PM,Tech & AI
Deep Tech Debrief ☕,https://lu.ma/szn4bn10,"Deep Tech Debrief is an informal networking event for founders and researchers in diverse deep tech fields (AI, biotech, robotics, etc.).  No pitches, just authentic connection and conversation among those tackling complex challenges. Ideal for deep tech professionals seeking collaboration and community.",,,,2025-06-18,10:00 AM,"June 18, 2025",12:00 PM,Networking & Community
AI Founders Lunch - Discuss GTM & Scaling,https://lu.ma/69urkf0r,"This exclusive San Francisco lunch connects 8-10 seed-stage AI founders (with early PMF) for candid discussions on scaling and GTM strategies.  Hosted by experienced entrepreneurs and J.P. Morgan, the event prioritizes high-signal insights and peer networking.  Ideal for ambitious CEOs seeking fresh growth ideas and valuable connections.","International Smoke, 301 Mission St, San Francisco, CA 94105, USA",California,,2025-06-18,11:45 AM,"June 18, 2025",01:45 PM,Networking & Community
YC AI Startup School - Women Builders AfterParty 🥰,https://lu.ma/9o2p8m3j,"Network with fellow women AI builders at the YC AI Startup School afterparty, featuring mini-sessions from Mintlify and Same.dev founders and startup demos.  Enjoy food, drinks, and connection with a community of female founders and engineers.","1550 Bryant St, San Francisco, CA 94103, USA",California,,2025-06-18,02:30 PM,"June 18, 2025",04:30 PM,Networking & Community
EduHack 2025 Kickoff: AI for Quality Education (in partnership with Stanford Founders),https://lu.ma/a8x369mf,"EduHack 2025, partnering with Stanford Founders, is a student-led hackathon focusing on AI-powered solutions for quality education (SDG 4).  The event features a kickoff event, two weeks of online collaboration, and prizes including internships, culminating in AI-driven proposals for nonprofit partners.  Ideal for students passionate about AI, education, and social impact.",,,Startup Events @ Stanford Founders,2025-06-18,03:00 PM,"June 18, 2025",05:00 PM,Hackathon
AI Hack Night at GitHub,https://lu.ma/hacknight-at-github-06-18-25,"GitHub's AI Hack Night, presented by Weaviate, offers developers of all levels a chance to collaborate on AI projects, learn from lightning talks by leading AI companies (Weaviate, FriendliAI, Arize AI, Hypermode, Daft), and showcase creations for prizes.  This event fosters networking and innovation within the AI agent and model deployment space.  Register now to build the future of AI!","GitHub, 88 Colin P Kelly Jr St, San Francisco, CA 94107, USA",California,[SF] Bay Area Builders,2025-06-18,04:00 PM,"June 18, 2025",09:00 PM,Hackathon
AIBrix & vLLM - A new open source toolkit for scaling GenAI inference at scale,https://lu.ma/ab2id296,"The San Francisco vLLM meetup (June 18th, 2025) showcases the open-source AIBrix toolkit for scaling GenAI inference, featuring talks from Bytedance and AWS on Trainium/Inferentia & EKS deployment.  This event is ideal for developers, engineers, and anyone interested in optimizing LLM inference for performance and efficiency.  Attendees must bring physical ID and luma QR code.","AWS GenAI Loft, 525 Market St, San Francisco, CA 94105, USA",California,vLLM Meetups and Events,2025-06-18,05:00 PM,"June 18, 2025",08:00 PM,Tech & AI
Conversational AI Agents,https://lu.ma/td0t7lls,"This Palo Alto event focused on building trusted conversational AI agents, featuring a keynote, panel discussion with Infobip, and startup pitches.  Attendees included AI/ML researchers, founders, investors, and those interested in leveraging conversational commerce via messaging and voice channels.  Networking opportunities were plentiful at this exclusive gathering for deep-tech innovators.","VC Nest, 567 University Ave, Palo Alto, CA 94301, USA",California,The Deep-Tech Community,2025-06-18,05:00 PM,"June 18, 2025",08:00 PM,Networking & Community
Human + Tech Week 2025 Afterparty: ART WALK!,https://lu.ma/humantechart,"The Human+Tech Week 2025 Afterparty: ART WALK! is an immersive art experience celebrating the intersection of humanity and technology through interactive installations, wellness rituals, and sensory activations across six themed verticals.  Highlights include AI-generated art, biohacking booths, and  vibrational sound therapy, offering attendees a unique blend of creativity, wellness, and future-forward exploration. This event is ideal for tech enthusiasts, artists, and anyone seeking a unique post-conference experience.","1 Beach St, San Francisco, CA 94133, USA",California,,2025-06-18,05:00 PM,"June 18, 2025",08:30 PM,Networking & Community
AI Circle x Appen: Experts in the Loop,https://lu.ma/kcb9kgcb,"On June 18th, AI Circle and Appen hosted ""Experts in the Loop,"" a panel discussion featuring leaders from Amazon, Meta, Microsoft, Google, and NVIDIA, exploring the crucial role of human expertise in developing safer, more responsible AI.  The event focused on advanced training techniques for AI models and agents, emphasizing the need for expert oversight in various AI applications.  This event was ideal for AI founders, product leaders, engineers, researchers, and investors.","340 E Middlefield Rd, Mountain View, CA 94043, USA",California,,2025-06-18,05:30 PM,"June 18, 2025",08:00 PM,Tech & AI
Data and AI  - MLOps Community,https://lu.ma/d38vtmud,"The MLOps Community's June meetup focuses on Data & AI Agents, exploring their application in data validation, edge-based RAG, and data engineering.  Experts from Recce, Microsoft, and Nao Labs will share insights on building robust, efficient, and private AI applications leveraging agents.  This event is ideal for data scientists, engineers, and AI professionals interested in improving data pipelines and AI workflows.",,,,2025-06-18,05:30 PM,"June 18, 2025",08:30 PM,Tech & AI
MCP Server Builder Series,https://lu.ma/i4kzi0rp,"This interactive event focuses on Model Context Protocol (MCP) server development, featuring hands-on talks and demos from industry experts (Block, WorkOS, Apollo GraphQL, Cloudflare, Datastax).  Attendees will learn practical techniques, explore innovative approaches, and network with fellow developers, regardless of their MCP experience level.  Ideal for developers and creators interested in building and securing MCP servers.","44 Tehama St, San Francisco, CA 94105, USA",California,MCP Server Builder Series,2025-06-18,05:30 PM,"June 18, 2025",08:30 PM,Tech & AI
🧠 🧠 Scaling AI That Works: Real-World Architectures & Success Stories,https://lu.ma/hwqlg23f,"This Silicon Valley AI event focuses on real-world AI scaling challenges and solutions, featuring presentations from experts at startups and Fortune 500 companies.  Attendees will learn practical architectures, strategic frameworks, and best practices for deploying and managing AI systems effectively, from budget-conscious startups to established enterprises.  The event is ideal for AI builders, managers, and leaders seeking to bridge the gap between pilot projects and production-ready AI.","2750 Coast Ave, Mountain View, CA 94043, USA",California,Silicon Valley AI Think Tank,2025-06-18,05:30 PM,"June 18, 2025",08:30 PM,Tech & AI
"AI Startup School Afterparty (Unofficial, Hosted by Stanford Founders)",https://lu.ma/1iaqi0i4,"Unwind and connect with fellow AI Startup School attendees at this casual afterparty hosted by Stanford Founders.  Enjoy live demos, light refreshments, and networking with the Stanford startup community.  Ideal for AI builders and enthusiasts seeking informal collaboration and connection.",,,Startup Events @ Stanford Founders,2025-06-18,06:00 PM,"June 18, 2025",08:00 PM,Networking & Community
"AI Startups Night in SF. Speakers: Pramod Gosavi and Jimmy Zhu, Senior Principals, Blumberg Capital",https://lu.ma/v5cm46o8,"Blumberg Capital hosted a San Francisco networking event for 50 AI founders, investors, and leaders, featuring a fireside chat with senior principals Pramod Gosavi and Jimmy Zhu on B2B AI startups.  The event offered insights into Blumberg's investment strategy and facilitated valuable connections within the AI ecosystem.  Space was limited, requiring RSVP.",,,Tech + Startups Community,2025-06-18,06:00 PM,"June 18, 2025",08:00 PM,Networking & Community
Building Agentic Systems with Effect,https://lu.ma/k065qzt6,"Learn how 14.ai builds safe, interruptible AI agents using Effect at this intimate San Francisco gathering (15 engineers only).  This event focuses on advanced design patterns for LLM-powered systems, moving beyond simple prompting to autonomous task execution. Ideal for engineers shaping the future of AI-native customer support.",,,14.ai,2025-06-18,06:00 PM,"June 18, 2025",08:00 PM,Tech & AI
Building AI to Remember: Engineering AI Memory,https://lu.ma/krkqwl5x,"This San Francisco event, hosted by LangChain, teaches developers how to build AI applications with memory, addressing the stateless nature of current AI.  Four leading experts share their experiences building memory into various applications, from social companions to large codebases.  Ideal for developers and builders seeking to enhance their AI projects with persistent memory functionality.",,,LangChain Events,2025-06-18,06:00 PM,"June 18, 2025",08:00 PM,Tech & AI
dev_night(25): build + secure AI Agents,https://lu.ma/jkdvls1t,"Learn to build and secure AI agents from industry experts at dev_night(25).  This event features talks on trusted AI design, authentication for generative AI, and real-world agent development, plus networking with startup founders and engineers. Ideal for AI developers, startup founders, and engineering leaders.",,,,2025-06-18,06:00 PM,"June 18, 2025",08:00 PM,Tech & AI
GenAI with The Giants - Cohere x Invisible,https://lu.ma/uq44jesd,"An exclusive invite-only event at Oracle Park unites AI leaders from Cohere and Invisible with business innovators to explore the transformative impact of Generative AI.  Enjoy a Giants game from a luxury suite, premium hospitality, and networking opportunities within the AI and related industries.  Ideal for business leaders and tech innovators seeking collaboration in AI applications.","Oracle Park, 24 Willie Mays Plaza, San Francisco, CA 94107, USA",California,,2025-06-18,06:00 PM,"June 18, 2025",09:00 PM,Networking & Community
Tech Talk: Building the Next Generation of Systems of Record,https://lu.ma/yng9bgzb,"This tech talk explores the architecture of next-generation, AI-first Systems of Record, featuring founders from Doss, Unify, and Serval sharing their experiences building intelligent, action-driving systems.  Learn about the technical decisions and tradeoffs involved in this foundational software shift. Ideal for developers, architects, and tech leaders rethinking their core systems.","Doss Inc., 144 2nd St, San Francisco, CA 94105, USA",California,,2025-06-18,06:00 PM,"June 18, 2025",08:00 PM,Tech & AI
硅谷AI跨境峰会：创新合作的新机遇,https://lu.ma/5ctf9j3b,"The Silicon Valley AI Cross-Border Summit (June 18th, 2025) explores the global AI boom, focusing on Sino-US collaboration and opportunities for Chinese AI startups expanding internationally.  Featuring prominent speakers and panels, the event offers insights into AI investment trends, market entry strategies, and funding in both regions.  Targeted towards Chinese AI entrepreneurs, investors, and those interested in US-China tech collaborations.",,,Bay Area Founders Club,2025-06-18,06:00 PM,"June 18, 2025",10:00 PM,Networking & Community
Agents for the Web - AI founder event,https://lu.ma/phtmrrz1,"Networking event ""Agents for the Web"" features lightning talks on AI agents and their web applications,  hosted by Notable Capital and showcasing speakers from Anyscale, Browserbase, and Apify.  Ideal for AI founders, developers, and investors interested in the future of agentic technology.",,,Neon,2025-06-18,06:30 PM,"June 18, 2025",09:30 PM,Tech & AI
"Thought Leadership Dinner ""The Role of Memory and Retrieval in Agentic AI""",https://lu.ma/m2nylr51,"An exclusive dinner for 16 leading Silicon Valley engineering executives explored the crucial role of memory and retrieval in building effective agentic AI.  Discussions focused on leveraging advanced memory technologies for improved AI performance, scalability, and real-time responsiveness in complex tasks.  This event was targeted at Heads of ML and senior tech leaders seeking a competitive advantage through next-generation AI.",,,Unusual Ventures,2025-06-18,06:30 PM,"June 18, 2025",09:00 PM,Tech & AI
After School at Zo,https://lu.ma/utldv8yh,"Exclusive after-hours networking event for Y Combinator's AI Startup School attendees at Zo House SF (June 18th, 7-10 PM).  Connect with fellow founders, VCs, and enjoy a panel discussion, fostering collaboration in a vibrant, private setting.  Limited spaces available – RSVP required.",,,SFOxZo,2025-06-18,07:00 PM,"June 18, 2025",10:00 PM,Networking & Community
