event_name,event_url,event_summary,full_address,region,presented_by_name,start_date,start_time,end_date,end_time,event_category,price_cents,event_description,Event_City
AI Networking Walk San Francisco (Startups & Investors),https://lu.ma/18dez0b1,"Network with AI startups and investors during a relaxed 3.2-mile walk in San Francisco, enjoying coffee and Golden Gate Bridge views.  This techtrust.ai event is perfect for AI founders, investors, and enthusiasts seeking informal connections.  Enjoy fresh air, conversation, and valuable networking opportunities.","2 Marina Blvd, San Francisco, CA 94123, USA",California,techtrust.ai,2025-06-28,10:30 PM,"June 28, 2025",11:30 AM,Networking & Community,0,"​Join us for a relaxed 3.2-mile morning walk to kick off your weekend with some fresh air, good coffee and networking! 

​We'll meet at Equator Coffee next to Fort Mason and head towards, Crissy Fields and Golden Gate Bridge.

Whether you're an AI founder, investor, or simply passionate about AI, this walk offers a great opportunity to connect while maintaining a comfortable pace for conversation.

​​Event is brought to you and hosted by techtrust.ai",San Francisco
AI Agents + MCP Hackathon,https://lu.ma/bdj5h6ao,"This AI Agents + MCP hackathon (June 28th, 11 AM-4 PM) challenges participants to build conversational AI agents using provided tools & APIs (Langchain, Langflow, etc.), offering substantial prizes including VC intros and API credits.  Ideal for AI developers wanting to build innovative agents leveraging the Model Context Protocol and gain valuable industry exposure.","VC Nest, 567 University Ave, Palo Alto, CA 94301, USA",California,The AI Agents Community,2025-06-28,11:30 PM,"June 28, 2025",5:00 PM,Hackathon,0,"​Date & Time:
June 28th Saturday,
11:00 AM – 4:00 PM

​Hackathon Team please check in here:

​​​​https://forms.gle/LaxqaAUUgNKyXjKQA

​​Build AI agents using any framework of your choice and the Model Context Protocol (MCP).

​​Use messaging APIs from Infobip to create conversational AI agents. (Credit available at the hackathon)

​​Build custom agents using Langflow, flowise, Langchain, Crewai

​​Use LLM credits from CloudRift for your agentic workflows.
Discord: https://discord.gg/rRQwrXan
Get free credit: instructions 

11:00 AM – 3:00 PM: Build your MVP.

​​3:00 PM – 4:00 PM: Demo session.

​​Throughout the Event: Enjoy pizza and drinks on the house.

​​Rewards & Benefits

​​VC Warm Intro: The top two demos will receive warm introductions to our network of VCs.

​​$1000 messaging APIs credit from Infobip

​​​We will be adding more rewards and benefits, including compute credits and LLM inference credits.

​Judging Panel

​Frederick Kautz: Distinguished leader in AI, zero-trust, open-source and cloud-native.

​Arjun Subedi: Head of Engineering & Growth at Astha.ai

​Saleh Alothaim: Angel Investor",San Francisco
VC Panels & Pitch Competition | June 2025 | San Francisco,https://lu.ma/9ryao423,"This San Francisco event (June 27th) connects startup founders with top VCs through panels, a pitch competition (apply by June 22nd), and networking.  Key VC firms and judges are involved, focusing on AI, deep tech, and other frontier sectors. Ideal for early-stage tech founders seeking funding and connections in 2025.","Zo House, 300 4th St, San Francisco, CA 94107, USA",California,Tech Weekend by Founders Village,2025-06-29,12:30 AM,"June 28, 2025",7:00 PM,Startup & Entrepreneurship,5000,"​Raising Capital in 2025: Curious about what’s on the minds of venture capitalists this year?

​Join us on June 27th, for exclusive fireside chats with top investors who will break down the strategies, trends, and insider insights that will shape the venture landscape in 2025.

​Venue: Zo House, 300 4th St, San Francisco, CA 94107

​=================================================================

​Schedule:

​12:00 PM – 1:00 PM: VC Panel with:

​Tian Yu (T.Y.), VC at Micron Ventures
Investment focus: Enterprise AI, Deep Tech
LinkedIn

​Gaurav Bhogale, Principal at Mantis Venture Capital
Investment focus: AI & Infrastructure
LinkedIn

​Alex Fies, General Partner at Ecosystem Ventures
Investment focus: Open
LinkedIn

​1:00 PM – 3:00 PM: Lunch & Networking

​3:00 PM – 5:00 PM: Pitch Competition

​Pitch Competition Judges:

​Eliza Dragomir, Senior Analyst at JetBlue Ventures
Investment focus: Enterprise Tech, Deep Tech
LinkedIn
Henry Pham, Managing Partner at Octant Ventures
Investment focus: AI, Fintech, Cleantech (Renewable Energies)
LinkedIn

​Emil Rustamli, VC Analyst at Fiat Ventures
Investment focus: Fintech+
LinkedIn

​Tian Yu (T.Y.), VC at Micron Ventures
Investment focus: Enterprise AI, Deep Tech
LinkedIn

​Julia Keinprecht, Partner Success Manager at Plug and Play Ventures
Investment focus: SaaS, AI, Fintech, Vertical SaaS, Blockchain Technology, Stablecoin Infrastructure
LinkedIn

​Jack Bookey, Associate at Dell Technologies Capital
Investment focus: Enterprise, AI
LinkedIn
5:00 PM – 7:00 PM: Happy Hour and Closing

===================================================================

​Link to Apply to the Pitch Competition

​Pitch Competition Application Deadline: June 22nd, 2025

===================================================================

​
Tech Weekend is the best event in San Francisco for startup founders who are fundraising — You can make direct investor connections & meet the coolest tech startups in one place.

​Over 3 days at Tech Weekend, you'll meet 100+ tech founders and over 50 venture capitalists actively investing in early-stage tech startups.

Founders can:
Join VC Office Hours for direct feedback
Attend VC Panels on 2025 investing trends
Connect with VCs during VC dinners dinners
Pitch live in front of VCs at the Tech Weekend Pitch Competition

and meet some of the coolest tech startups gathered from all around US and abroad.

If you're building in AI, Deep Tech, Health Tech, Fintech, Climate Tech, Biotech, Vertical Tooling, EdTech, Dual-Use Tech, Quantum, or any frontier sector — and fundraising in 2025 — this is where you want to be.

​Join our mailing list @ Foundersvillage.bio

For More information checkout the following links:

​Website: Founders Village

​LinkedIn: Founders Village on LinkedIn

​Instagram: @founders.village

​X (Twitter): @foundersvillge

​

​Startup Showcases at Tech Weekend June 2025
​Meet Lvlup.ai — your AI best friend, creative sidekick, and always-on super-agent.

​Everyone deserves a best friend: One who listens without judgment, shows up without fail, and helps turn your dreams into reality.

​Lvlup is more than a chatbot — it’s an AI companion that helps you write, plan, search, reflect, and grow. With a face, a voice, a memory, and a personality, Lvlup evolves with you. Whether you're creating content, exploring ideas, or just needing a late-night thought catcher — it's always by your side.

​No mixed signals. No ghosting. Just presence.

​👉 Try it for free: https://lvlup.ai

​📍 Stop by their booth to chat with:
🔹 Tong Xu, Co-founder & CEO – LinkedIn

​StealthGPT — the team humanizing AI writing.

​StealthGPT helps you create high-quality, human-like content that effortlessly bypasses AI detectors like Turnitin and GPTZero. Whether you're crafting essays, blogs, or marketing copy, StealthGPT combines a user-friendly interface with multi-language support, SEO tools, and PDF interaction—making it the go-to tool for students, writers, and professionals alike.

​👉 Try it free at stealthgpt.ai

​📍 Stop by their booth to chat with:
🔹 Jozef Gherman, Founder – LinkedIn

​Skyrelis, the team pioneering security for the Agentic AI era.

​As enterprises deploy autonomous AI agents to automate workflows and decisions, Skyrelis is building the foundational layer of protection—real-time agent-aware policy enforcement and behavioral controls for secure, cloud-native environments.

​Founded by leaders in cybersecurity and AI, they’re defining a new category in enterprise security.

​📍 Stop by their booth to chat with:
🔹 Jaz Lin, CEO – LinkedIn
🔹 Sree Vakil, CTO – LinkedIn

​

​

​

​

​

​",San Francisco
AI REVOLUTION — ADAPT OR DIE - Silicon Valley's most practical startup laboratory,https://lu.ma/i3a141hm,"This free, intensive workshop in Silicon Valley helps startups build actionable AI-driven growth roadmaps.  Expert founders, investors, and operators provide personalized guidance and mentorship, covering everything from AI integration strategies to scaling in the AI era. Ideal for founders, IT specialists, and tech students aiming for market dominance.","Hacker Dojo, 855 Maude Ave, Mountain View, CA 94043, USA",California,,2025-06-29,1:30 AM,"June 28, 2025",5:00 PM,Startup & Entrepreneurship,0,"​
🤖 AI REVOLUTION — ADAPT OR DIE

​Silicon Valley's most practical startup laboratory

📅 June 28, 2025 | 1:00 PM - 5:00 PM

​📍 Hacker Dojo, Mountain View

​💰 FREE EVENT

Building in the AI era but missing a roadmap? While others are still figuring out where AI fits, you'll walk away with a concrete, step-by-step action plan built by industry experts who've scaled companies and navigated transformations.

​Startup Lab isn't a conference - it's an intensive workshop where seasoned founders, investors, and operators collaborate to build you a personalized growth roadmap. No theory, just actionable frameworks you can implement immediately.

​Companies that fail to adapt to AI go extinct. Fast. The AI revolution is here — evolve or go extinct.

​The outcome: A custom roadmap designed specifically for your startup journey - whether you're scaling your first product or pivoting to AI-first business model.

🎯 SCHEDULE

​1 pm - 2:30 pm - Morning Deep Dive

​Startup survival guide - avoid the most common business killers in the AI era

​From idea to scale frameworks with clear technical and business milestones

​Industry insider secrets that usually take years to learn

2:30 pm - 3:30 pm - Strategic Lunch & Connections

​Authentic homemade plov in a traditional kazan

​Connect with fellow builders, experienced mentors, and industry experts

​Find potential co-founders, advisors, and strategic partners

3:30 pm - 5 pm - Afternoon Roadmap Building

​Personal roadmap session tailored to your specific business stage and goals

AI integration strategies for any business model or industry

Growth acceleration tactics designed for your current resources and timeline

🤖 Meet Your AI Host AXON - Our AI-powered event host brings tech humor and Silicon Valley energy while keeping sessions focused and productive.

​🚀 AGENDA

Alex Dantas (https://www.linkedin.com/in/alexrfdantas)
- Founder & CEO of Circuit Launch, California's top hardware accelerator. Built 40,000 sq ft hardware innovation space, guided hundreds of hardware startups from idea to market

​Igor Novikov (https://www.linkedin.com/in/igor-a-newman)
- AI Integration specialist & Founder of Innova, helping companies fully leverage AI benefits. MVP development specialist with deep understanding of both technical and business sides. Dozens of successfully completed projects from concept to market

Alex Raud (https://www.linkedin.com/in/alexander-raud-631720109)
- Tech Lead of Intel/Apple & Intel/Microsoft collab on Graphics Drivers. Performance Architect, father of Intel SEAPI Architect of VTune & GPA, acting CTO of io.net (🦄) Will speak on ""Optimization"" - how to build systems that actually scale

Luba Ovtsinnikova (https://www.linkedin.com/in/ljubov-ovtsinnikova-5391614a/)
- CEO and Co-founder of Newo.ai - a leading builder for Voice AI Employees created with a single click, followed by low-cost customizations without limitations on complexity. 17 years of RevOps and GTM experience. Launched companies and new divisions for global corporations across different countries, managing revenues from $100K to $20M. Personal development training organizer, certified professional coach.

Yuta Rasell (https://www.linkedin.com/in/yutarasell) Strategic talent partner for venture-backed startups and tech founders. With 15+ years in recruiting, I specialize in building core teams from the ground up — co-founders, early hires, and technical leadership — for high-growth companies in AI, deep tech, and product-driven sectors. I've led hiring launches post-funding and scaled recruiting systems for global startups like Praktika.AI ($35M), Picsart ($130M), GridGain ($30M), XOR ($8M), and others — across the US, Europe, MENA, and APAC.

​Secret Guest - A surprise industry leader will join us with exclusive insights

​Plus marketing and finance mentors who speak founder language, not consultant jargon

​👥 Perfect For Startup founders ready to adapt and scale in the AI revolution IT specialists looking to leverage their skills for business growth Students in tech, product, or business who want real-world guidance Technical leaders who can build but need business strategy Business owners who need to understand AI feasibility and implementation Mentors and educators looking to understand current startup landscape

​🎬 Bonus: Global Media Showcase Active participants get featured across our international media channels - turning your startup into a globally recognized brand.

​⚡ The Promise 4 hours. Expert mentorship. Your personalized AI-era roadmap. Stop second-guessing. Start building with confidence.

​Ready to turn your expertise into market dominance?

​Join the lab where ambitious builders become industry leaders!",San Francisco
DREAMS OF STEEL: Deep Tech Week Closing Party,https://lu.ma/dtw25-dreams-of-steel,"Deep Tech Week culminates in a futuristic closing party, ""Dreams of Steel,"" featuring talks from leading aerospace and robotics investors & founders (including Matt Ocko of DCVC), followed by a sci-fi extravaganza with robot boxing, a fashion show, live music, and open bar.  This event is perfect for Bay Area deep tech professionals and enthusiasts seeking a unique networking and celebration experience.","The Loom Oakland, 1020 22nd Ave, Oakland, CA 94606, USA",California,Deep Tech Week,2025-06-29,5:30 AM,"June 29, 2025",2:00 AM,Networking & Community,3000,"​

Dreams of Steel is the science-fiction themed closing party to Deep Tech Week, week long decentralized conference bringing together thousands of people from across the Bay Area hardware and deep tech startup ecosystem.

The closing party starts off like a usual tech event - pizza and presentations from founders and investors in Aerospace and Robotics and then evolves into a full blown science-fiction themed party giving a vivid glimpse of our near-term future in a world of humanoid robots.

Expect live music, dance floor, open bars, themed rooms, outdoor fire pits, VIP lounge.

And Robots.
Robots to dance
and Robots to fight....


Tickets:
Tech Talks - Free
Party - $40, comes with free giga-glasses and open bar
VIP - $420 - access to VIP lounge

​
Doors open at 5:00PM
Schedule:
5:00 - 6:15pm - Open Bar Reception + Pizza Party
6:30 - 8:30pm - Tech Talks in Aerospace and Robotics
9:00 PM - ROBOT BOXING + ROBOT FASHION SHOW
9:00 PM - late night - Live music, themed rooms, burning man meets science and engineering innovation with humanoid robotics

​Speakers:
- Matt Ocko, founder of DCVC, a $4billion AUM Deep Tech fund

- Andrew Duggleby, founder and CEO of Venus Aerospace developed rotating detonation jet engines

- Bob Boyd, founder and CEO at ATSquared Aerospace developing cargo freight airships

- Robert Rose, founder and CEO of Reliable Robotics developing autonomous navigation and control systems for commercial aircraft

- Jan Liphardt, founder and CEO of OpenMind AGI, developing OS architecture for intelligent and safe machines

DJ's and musical artists lineup announced soon",San Francisco
CineAI Tennis Meetup,https://lu.ma/cy0jznz4,"Join the CineAI Tennis Club on June 29th in San Francisco for a morning of tennis and brunch, networking with fellow founders, creators, and tech enthusiasts.  All skill levels welcome; this event fosters community and connection within the CineAI Founders Hub.  Enjoy a fun, social atmosphere while building relationships and improving your game!",San Francisco,,,2025-06-29,9:30 PM,"June 29, 2025",10:30 AM,Networking & Community,0,"​Hey friends!



​Please join CineAI Tennis Club for tennis and/or brunch on Sunday, June 29 in SF!

​🎾 Tennis: We’ll aim to line up for the walk-in courts at 9AM and get a good hitting session in.
🍳 Brunch: Around 11:00 AM, we’ll grab something nearby!

​What to expect: Meet like minded people who have an entrepreneurial spirit and creative mind, more importantly, who bring positive energy, embrace life and are fun to be around. 

​Who should attend: Founders, investors, Creators, technologists, tennis enthusiasts at all levels are welcome! We’ll get to know each other and everyone’s skill levels, and eventually form a group that can pair up with the right match in the future, and improve skills together. Let’s meet, hit some balls, and hang out!

​What to bring:

​Tennis racquet (if you want to play)

​Tennis balls (If you have some extras!)



​CineAI Tennis Club is a subchapter of the CineAI Founders Hub. We're a community of founders, filmmakers, creators, and technologists brought together by a shared passion for innovation, creativity—and now, tennis!

​Our mission is to empower people to drive positive change by democratizing creativity through AI.
Our vision is to inspire a future where technology and creativity help people express who they are, what they believe in, and how they can change the world.

​About CineAI Founders Hub: https://www.linkedin.com/company/cineai-founders-hub/about/?viewAsMember=true

​✨Join CineAI Tennis Club community: https://chat.whatsapp.com/GYewDr6h9DoJhcV5MIv174

​Can’t wait to see you all there!",San Francisco
Robotics Club SF: Deep Tech Week Debrief,https://lu.ma/robotics-club-sf-deep-tech-week-debrief,"Robotics Club SF debriefs Deep Tech Week with an open mic for sharing insights, projects, and questions on cutting-edge AI and robotics.  This casual event connects attendees who explored the future of technology, ideal for those interested in AI, robotics, and future tech. Hosted by the Frontier Tower, a hub for innovative technologies.",San Francisco,,Robotics Club SF,2025-06-29,10:30 PM,"June 29, 2025",12:00 PM,Networking & Community,0,"​Join us at the Robotics Club SF, where cutting-edge machine learning meets advanced robotics.

​This month, we meet to reflect on Deep Tech Week - to share what sparked ideas, shifted perspectives, or opened new questions. It’s a casual morning of conversation, connection, and discovery with others who spent the week exploring the future.

​Open Mic:

​We will have an open mic for you to share a vision, present a project, ask a big question, or tell us what’s been on your mind. This is your stage for 3 minutes.

​Hosted By:

The Frontier Tower: We are transforming a 16-floor tower in San Francisco into a self-governed vertical village - a hub for frontier technologies and creative arts. Tier-one labs presenting AI, Ethereum, biotech, neuroscience, longevity, robotics, human flourishing, and arts & music. These floors will house innovators and creators pushing the boundaries of human potential in a post-AI-singularity world.

​More Information:
https://frontiertower.notion.site/",San Francisco
Startup Roadshow ：AI × Innovation × Investment,https://lu.ma/zzxjh93v,"This Startup Roadshow spotlights eight cutting-edge AI-driven startups across diverse sectors (social media, aging, energy)  presenting to investors.  The event uniquely combines founder pitches with investor insights, ideal for VCs, angel investors, and those interested in AI innovation.","Huddle, 2000 N Shoreline Blvd Ground Floor, Mountain View, CA 94043, USA",California,WeShine,2025-06-30,2:30 AM,"June 29, 2025",4:30 PM,Startup & Entrepreneurship,0,"​The event will feature eight visionary startup founders and one seasoned investor sharing their experiences in a dynamic roadshow session.

​Startup Roadshow
💐Alice Hansen - CEO@GoldenLink+
🎯AI Driven Social Media Marketing Campaign

💐Richard Quan - COO@Funs.AI
🎯The Future Is Here Now

💐Solomon Kim - Stanford alumnus @ Sunscreen
🎯Stopping Heat Waves

💐Anja Krammer - CEO@Turn Biotechnologies
🎯Reversal of Aging Therapies

💐Benjamin Ji - CEO@Archon Vision
🎯Fusion Vision Intelligence for outdoors & security

​💐Kevin Good - CEO@MetaLearner
🎯MetaLearner Overview

💐Henry Lin - CEO@Athena AI Life Advisor
🎯Athena AI

💐Susan Linwood - CEO@Powerdirect
🎯Mid-voltage Innovative Transformer",San Francisco
AI Agents Demo Day,https://lu.ma/h0t27n65,"The AI Agents Demo Day showcases 10+ AI agent startups pitching to 10+ VCs at VC Nest in Palo Alto, focusing on secure agent-to-agent communication and future verticals.  Expert panelists and mentors offer insights, networking opportunities abound.  Ideal for AI/ML founders, investors, and those interested in the future of AI agent technology.","VC Nest, 567 University Ave, Palo Alto, CA 94301, USA",California,The AI Agents Community,2025-07-01,5:30 AM,"June 30, 2025",8:00 PM,Startup & Entrepreneurship,0,"​Apply to pitch at Demo Day here.

Panelist and Mentors

Yuquan Wang: Founding partner of Haiyin Capital, and advisor to the George H. W. Bush Foundation for U.S.-China Relations.

​Aroop Zutshi: Author, former VP of Frost & Sullivan, and corporate leadership coach.

Frederick Kautz : Renowned expert on Cloud Native, Zero Trust, Software Supply Chain

We will have 10+ VCs at the event.

Agenda.

​​5:00 - 5:30 PM: Networking

​​5:30 - 5:40 PM: Opening Remarks and Shoutout to Sponsors/Hosts

​​5:40 - 5:55 PM: Presentation on Future of Secure Agent-to-Agent Communication
6:00 - 6:15 PM: Panel Discussion: AI Agent Verticals

​​6:15 - 7:15 PM: Startup Pitches (10 startups, 5 minutes each)

​​7:15 - 8:00 PM: More Networking

​The Deep-Tech Community:
We help AI/ML and deep-tech founders succeed faster by bringing the right people and resources together.

The AI Agents Community:
Community of AI agent founders, builders, industry experts, and VCs focused on agent security, trust, and standards.

VC Nest:
VC Nest is an exclusive hub centrally located in downtown Palo Alto, designed for venture capitalists and portfolio startups to thrive. Our state-of-the-art space provides the perfect environment for innovation, collaboration, and growth.",San Francisco
WorkTech Startup Pitch Night with Qlay and Startup Intros,https://lu.ma/b9xef76a,"San Francisco's WorkTech Startup Pitch Night connects founders with investors and experts, showcasing AI-driven workplace solutions.  The event features pitches, a keynote by Tim Hsia (Context Ventures), and judging by prominent VCs.  Ideal for WorkTech founders seeking funding, feedback, and industry connections.",San Francisco,,Qlay,2025-07-01,5:30 AM,"June 30, 2025",8:00 PM,Startup & Entrepreneurship,2000,"​
Note: This is a hybrid event. For online participation, please register from this URL instead:


​https://www.linkedin.com/events/worktechstartuppitchnightwithql7334375076668088320/

​Join us for WorkTech Startup Pitch Night, an exciting gathering in San Francisco that connects leading startup founders, investors, and industry experts. Learn about the various ways in which AI is applied in WorkTech!

​WorkTech or “Workplace Technology” Startup Founders: This is your opportunity to showcase your startup, hear feedback on your business, and connect with potential partners or investors.

​WorkTech = aimed at transforming how people work, including work productivity, team collaboration, hiring, HR, and the employee experience.

If you're a founder and you're interested in pitching at this event, please fill out this form.

​This event is hosted by Qlay and Startup Intros.

​Agenda

​5​​:00 - 6:00 pm: Registration and Networking w/ Food and Drinks!​

​6:00 - 6:15 pm: Introduction of Hosts and Judges​ + Keynote Speech by ​Tim Hsia (Partner at Context Ventures & Co-Founder at Startup Intros)

​6:15 - 7:15 pm: Startup Pitches

​7:15 - 7:20 pm: Introduction of Sponsors

​​​7:20 - 7:30 pm: Announcement of Winners

​7:30 - 8:00 pm: Networking

​Submit your pitch here!

​Judges

​​Tim Hsia, Partner at Context Ventures

​Carl Choi, Partner at Alumni Ventures

​Seokjun Ko, Head of Silicon Valley Office at SBI Holdings USA, Inc., Managing Director at SCV x SBI Fund (USA) and Partner at SBI US Gateway Fund

​Cai Chen, Investor at Hat-Trick Capital

​Mohak Saxena, Investor at Race Capital

​​​Hosts

​​​Qlay is a Global Engineer Hiring Platform. We help startups source, screen, and hire top-tier engineers around the world. Book a quick intro call to learn how to scale your development without ruining your cash flow!

​Startup Intros is a media and intelligence platform that helps early-stage founders find and win the right investors. Register as a founder here.

​​Digital Garage US is a technology incubator that bridges global markets and industries. By leveraging its diverse international network, Digital Garage US empowers startups, creators, and businesses to expand and innovate on a worldwide stage.

​Sponsors

​Bubbl is a community-travel platform that connects like-minded founders to share accommodations and experiences. Whether you’re going to a conference, music festival, or new events, Bubbl makes it easy to find friends, split costs, and create memories together. 

​Event Terms and Media Release

​​​By registering for this event, you agree to release Qlay and Startup Intros, its organizers, and all other event hosts from any liability related to your participation. You also consent to being photographed or recorded during the event, with such media potentially used for promotional purposes. Additionally, you agree to receive event updates, newsletters, and invitations from Qlay, Startup Intros, and other event hosts. You may unsubscribe from these communications at any time.",San Francisco
