event_name,event_url,event_summary,full_address,region,presented_by_name,start_date,start_time,end_date,end_time,event_category
Fully Connected 2025 (registration link in description),https://lu.ma/fc2025,"Fully Connected 2025 is a two-day in-person event for AI developers, offering hands-on workshops and inspiring talks from industry pioneers on building and deploying AI agents.  This Weights & Biases event bridges the gap from prototype to production. Register now through the official website (link in description) – Luma registrations are invalid.","Convene 100 Stockton, 40 O'Farrell St, San Francisco, CA 94108, USA",California,Weights & Biases,"June 17, 2025",10:00 AM,"June 18, 2025",6:30 PM,Tech & AI
HR Executive Retreat at: Human+Tech Week,https://lu.ma/HumanAILeadership,"This invitation-only HR Executive Retreat at Human+Tech Week explores AI's impact on workforce readiness, focusing on building emotionally resilient organizations.  Senior HR leaders, wellbeing experts, and CHRO/CTO pairs will gain tactical insights and discuss strategies for AI integration, mental health, and adaptable workforces.  The event features SHRM research and a leadership roundtable on AI mega-trends in HR.","1 Beach St, San Francisco, CA 94133, USA",California,Aiify.io Events {+partners},"June 17, 2025",10:30 AM,"June 17, 2025",2:30 PM,Tech & AI
"AWS, Snowflake, phData Gen AI Innovation Day",https://lu.ma/c0qsnmt5,"This San Francisco event showcases building production-ready generative AI applications using AWS, Snowflake, and phData technologies.  Attendees—including business leaders, data scientists, and AI specialists—will learn best practices for RAG implementation and deploying Gen AI from POC to production.  Real-world examples and expert insights are key highlights.","525 Market St, San Francisco, CA 94105, USA",California,,"June 17, 2025",12:00 PM,"June 17, 2025",6:00 PM,Tech & AI
"Code, Creativity, and Capital: Is Gen Art the Next Big Tech Frontier?",https://lu.ma/r9ltkx5h,"This panel discussion explored the burgeoning generative art market, examining its financial dynamics, technological underpinnings (smart contracts, provenance), and future potential.  Leading VCs, AI researchers, and artists debated the viability of generative art as a sustainable digital asset class. The event targeted investors, artists, technologists, and anyone interested in the intersection of art, technology, and finance.","Freepik - San Francisco, 398 5th St, San Francisco, CA 94107, USA",California,Freepik,"June 17, 2025",5:00 PM,"June 17, 2025",8:30 PM,Tech & AI
How Search Powers Public Good + Agents & MCP with Mastra,https://lu.ma/elastic-meetup,"This San Francisco meetup (June 17th) explores how Elasticsearch powers public good, focusing on pandemic disease tracking and practical AI agent development using Mastra and MCP.  Attendees will learn from experts and network, ideal for developers, data scientists, and those interested in AI and public health applications.  Pizza and networking included!","Elasticsearch, Inc, 88 Kearny St floor 19, San Francisco, CA 94108, USA",California,"You Know, for Search","June 17, 2025",5:30 PM,"June 17, 2025",8:00 PM,Tech & AI
Stateful Agents Meetup: Vibecoding full-stack agentic apps,https://lu.ma/stateful-agents,"Learn to build complete, full-stack AI agent applications *without writing any code* at this meetup featuring a live vibecoding demo using the Letta SDK.  Witness the creation of a production-ready agent application with persistent memory, custom tools, and web UI – all through prompt engineering. Ideal for developers interested in rapid agent prototyping and the future of AI development.","Anyscale, 55 Hawthorne St 9th Floor, San Francisco, CA 94105, USA",California,Letta Meetup,"June 17, 2025",5:30 PM,"June 17, 2025",6:30 PM,Tech & AI
HUMAN+TECH WEEK: Homecoming,https://lu.ma/HTWhome,"Celebrate the future of humanity at Human+Tech Week's Homecoming party, a highlight of the largest gathering of Human Tech Pioneers shaping tomorrow's world.  This exclusive event (included with Summit tickets or available à la carte) is ideal for those passionate about the intersection of human progress and technological innovation.","1 Beach St, San Francisco, CA 94133, USA",California,Aiify.io Events {+partners},"June 17, 2025",6:00 PM,"June 17, 2025",10:00 PM,Networking & Community
YC Poker After Party @ Vitalize,https://lu.ma/u6nwt37n,"Network with fellow YC AI Startup School attendees at a fun poker after-party at Vitalize HQ.  Enjoy complimentary food, drinks, and poker games with buy-ins ranging from $0.25/$0.50 to $1/$2.  Perfect for AI entrepreneurs and poker enthusiasts!","Vitalize Care, 832 Sansome St Lower Level, San Francisco, CA 94111, USA",California,Vitalize Calendar,"June 17, 2025",8:00 PM,"June 18, 2025",2:00 AM,Networking & Community
World Summit AI - SF,https://lu.ma/wialbjgv,"The World Summit AI in San Francisco (June 18-19, 2025) unites global leaders to address the ethical, societal, and technological implications of AI, fostering collaboration for a responsible future.  The summit features diverse speakers, interactive workshops, and focuses on themes like AI's global impact, physical AI, autonomous agents, and human-centered applications.  This event is crucial for anyone invested in shaping the future of AI, from technologists and policymakers to humanitarians and concerned citizens.","Fort Mason Center, 2 Marina Blvd, San Francisco, CA 94109, USA",California,WSAI USA,"June 18, 2025",9:00 AM,"June 19, 2025",5:30 PM,Tech & AI
AI Founders Lunch - Discuss GTM & Scaling,https://lu.ma/69urkf0r,"This San Francisco lunch event connects 8-10 seed-stage AI founders with early PMF, facilitating peer-to-peer learning on scalable growth strategies, marketing, and sales.  Hosted by experienced founders and J.P. Morgan, it offers high-signal discussions and valuable networking opportunities.  Attendance is limited to committed founders who've secured funding.","International Smoke, 301 Mission St, San Francisco, CA 94105, USA",California,,"June 18, 2025",12:00 PM,"June 18, 2025",2:00 PM,Startup & Entrepreneurship
YC AI Startup School - Women Builders AfterParty 🥰,https://lu.ma/9o2p8m3j,"Network with fellow female AI builders at the YC AI Startup School Afterparty, featuring mini-demos, speaker sessions from Mintlify and Same.dev founders, and provided food.  This exclusive event is perfect for women in tech building AI startups or related projects.","The Landing San Francisco Apartments, 1395 22nd St, San Francisco, CA 94107, USA",California,,"June 18, 2025",2:30 PM,"June 18, 2025",4:30 PM,Other
AI Hack Night at GitHub,https://lu.ma/hacknight-at-github-06-18-25,,"GitHub, 88 Colin P Kelly Jr St, San Francisco, CA 94107, USA",California,[SF] Bay Area Builders,"June 18, 2025",4:00 PM,"June 18, 2025",9:00 PM,Other
AIBrix & vLLM - A new open source toolkit for scaling GenAI inference at scale,https://lu.ma/ab2id296,,"AWS GenAI Loft, 525 Market St, San Francisco, CA 94105, USA",California,vLLM Meetups and Events,"June 18, 2025",5:00 PM,"June 18, 2025",8:00 PM,Other
Human + Tech Week 2025 Afterparty: ART WALK!,https://lu.ma/humantechart,,"1 Beach St, San Francisco, CA 94133, USA",California,,"June 18, 2025",5:00 PM,"June 18, 2025",8:30 PM,Networking & Community
MCP Server Builder Series,https://lu.ma/i4kzi0rp,"This interactive event focuses on Model Context Protocol (MCP) server development, featuring hands-on talks and demos from industry experts on topics like AI agents, server security, and deployment strategies.  Attendees will gain practical insights, network with fellow developers, and learn innovative approaches to MCP server building. Ideal for developers of all levels, from beginners to experienced MCP server builders.","44 Tehama St, San Francisco, CA 94105, USA",California,MCP Server Builder Series,"June 18, 2025",5:30 PM,"June 18, 2025",8:30 PM,Tech & AI
GenAI with The Giants - Cohere x Invisible,https://lu.ma/uq44jesd,"An exclusive invite-only event at Oracle Park unites AI leaders from Cohere and Invisible with business innovators to explore the transformative impact of GenAI.  Enjoy a San Francisco Giants game from a luxury suite, premium hospitality, and networking opportunities. This event is ideal for business leaders and tech innovators in industries impacted by AI.","Oracle Park, 24 Willie Mays Plaza, San Francisco, CA 94107, USA",California,,"June 18, 2025",6:00 PM,"June 18, 2025",9:00 PM,Tech & AI
Tech Talk: Building the Next Generation of Systems of Record,https://lu.ma/yng9bgzb,"Learn how leading startups are revolutionizing Systems of Record with AI-first architectures, focusing on workflow automation and actionable insights, not just data storage.  This tech talk features founders sharing architectural decisions, infrastructure choices, and key lessons learned. Ideal for software architects, engineers, and product leaders building next-gen enterprise systems.","Doss Inc., 144 2nd St, San Francisco, CA 94105, USA",California,,"June 18, 2025",6:00 PM,"June 18, 2025",8:00 PM,Tech & AI
